address,cost,lat_lon,phone,title,website,address_geo,latitude,longitude
"1483 Alaskan Way, Seattle, WA 98101","Adults: $17, Youth: $11, Children (under 3): Free","47.6098959, -122.3462634",206-386-4300,Seattle Aquarium,http://www.seattleaquarium.org/,"1483 Alaskan Way, Seattle, WA 98101, USA",47.607257,-122.3437363
"1501 Pike Place, Seattle, WA 98101",Entry is free.,"47.608709, -122.341047",206-682-7453,Pike Place Market,http://www.pikeplacemarket.org/,"1501 Pike Pl, Seattle, WA 98101, USA",47.6086274,-122.3407369
"1801 Dock Street, Tacoma, WA 98402",General Admission: $12,"47.245401, -122.433722",253-284-4750,Museum of Glass,http://www.museumofglass.org/,"1801 Dock St, Tacoma, WA 98402, USA",47.2459313,-122.4340769
"Space Needle, 400 Broad Street, Seattle, WA 98109",Prices start at $11 for children and $18 for adults.,"47.620492, -122.349237",206-905-2100,Space Needle,http://www.spaceneedle.com/,"400 Broad St, Seattle, WA 98109, USA",47.6205063,-122.3492774
"Mount Rainier National Park, 55210 238th Avenue East, Ashford, WA 98304",Entry fee is $15 per vehicle,"46.8996733, -121.6973877",360-569-2211,Mount Rainier National Park,http://www.nps.gov/mora/index.htm,"55210 238th Ave E, Ashford, WA 98304, USA",46.7577568,-122.1232461
"2820 SE Ferry Slip Road, Newport, OR 97365","Children: $9.95, Youth: $12.75, Adults: $15.45","44.61708, -124.047382",541-867- FISH (3474),Oregon Coast Aquarium,http://www.aquarium.org/,"2820 SE Ferry Slip Rd, Newport, OR 97365, USA",44.6170195,-124.04748
"4001 SW Canyon Road, Portland, OR 97221-9704","Children: $7.50, Adults: $10.50","45.509017, -122.713079",503-226-1561,Oregon Zoo,http://www.oregonzoo.org/,"Kalahari Banquet Room, 4001 Southwest Canyon Road, Portland, OR 97221, USA",45.508503,-122.7130441
"611 SW Kingston Avenue, Portland, OR 97205","Youth: $6.75, Adults: $9.50","45.5191157, -122.7067812s",503-223-1321,Portland Japanese Garden,http://www.japanesegarden.com/,"611 SW Kingston Ave, Portland, OR 97205, USA",45.51862,-122.7084311
"1313 S. Disneyland Drive, Anaheim, CA 92802","To visit both parks on the same day: Children, $91 and adults, $101.","33.8153989, -117.9241562",714-999-4565,"Disneyland, Anaheim",http://www.disneyland.disney.go.com/,"1313 Disneyland Dr, Anaheim, CA 92802, USA",33.8126774,-117.9203217
"Mt Lee Drive, Los Angeles, CA 90068",Free,"34.1326032, -118.3181997",323-258-4338,Hollywood Sign,http://www.hollywoodsign.org/,"Mount Lee Dr, Los Angeles, CA 90068, USA",34.1326597,-118.3181546
"500 SeaWorld Drive, San Diego, CA 92109","Children: $59, Adults: $69","32.758371, -117.183222",800-257-4268,SeaWorld San Diego,http://www.seaworld.com/,"500 Sea World Dr, San Diego, CA 92109, USA",32.7610915,-117.2219302
"2920 Zoo Drive, San Diego, CA 92101","Children: $27, Adults, $37","32.7381587, -117.1487305",619-231-1515,San Diego Zoo,http://www.sandiegozoo.org/,"2920 Zoo Dr, San Diego, CA 92101, USA",32.7345893,-117.1491197
"Pier 33, Hornblower Alcatraz Landing, San Francisco, California 94111","Children: $16, Adults: $26","37.806732, -122.404528",415-981-ROCK (7625),Alcatraz Island,http://www.alcatrazcruises.com/,"Pier 3, Hornblower Landing, The Embarcadero, San Francisco, CA 94111, USA",37.7978018,-122.3954057
"1000 Universal Center Dr, San Fernando Valley, CA 91602",$129/day pass.,"34.135572, -118.350885",1-800-UNIVERSAL,Universal Studios,http://www.universalstudioshollywood.com/,"1000 Universal Center Dr, Universal City, CA 91608, USA",34.1370068,-118.3529405
"Arco, Highway 26, Arco, Idaho 83213",Entry fee is $8 per vehicle.,"43.603472, -113.34132",208-527-1300,Craters of the Moon National Monument,http://www.nps.gov/crmo/index.htm,"US-26, United States",43.6365096,-113.3002095
"Yellowstone National Park, WY 82190",Entry Fee is $25 per vehicle,"44.4620852, -110.6424411",307-344-7311,Yellowstone National Park,http://www.nps.gov/yell/index.htm,"Yellowstone National Park, WY 82190, USA",44.4620852,-110.6424411
"1147 Las Vegas Boulevard South, Las Vegas, NV 89104-1305",Free,"36.1572784, -115.1482839",702-383-8326,Las Vegas Strip,http://www.vegas.com/lounge/map.html,"1147 S Las Vegas Blvd, Las Vegas, NV 89104, USA",36.1572084,-115.1482375
"10 South Lake Street, Reno, NV 89501-1558","Children: $4, Adults: $10","39.5253127, -119.8094191",775-333-9300,Reno National Automobile Museum,http://www.automuseum.org/index.html,"10 Lake St, Reno, NV 89501, USA",39.5259057,-119.8088645
"Lake Tahoe, Nevada",Free,"39.1272558, -120.0202964",775-831-0494,Lake Tahoe,http://www.visitinglaketahoe.com/,"Lake Tahoe, United States",39.0968493,-120.0323507
"1625 N. Central Avenue, Phoenix, AZ 85004","Children: $4, Adults: $10","33.466978, -112.072569",602-257-1222,Phoenix Art Museum,http://www.phxart.org/,"1625 N Central Ave, Phoenix, AZ 85004, USA",33.4667324,-112.0727233
"Monument Valley, Oljato-Monument Valley, San Juan, UT 84536",$5 per person,"37.0105556, -110.2427778",800-574-4386,Monument Valley,http://www.utah.com/monumentvalley/,"Monument Valley Rd, Oljato-Monument Valley, UT 84536, USA",37.0080386,-110.1808952
"2282 Resource Blvd, Moab, UT 84532",Entrance Fee is $5 per vehicle,"38.7250494, -109.595456",435-719-2299,Arches National Park,http://www.nps.gov/arch/index.htm,"2282 Resource Blvd, Moab, UT 84532, USA",38.538146,-109.510324
"50 W South Temple, Salt Lake City, UT 84150-0001",Free,"40.7705016, -111.8924364",801-240-4872,Temple Square,http://www.visittemplesquare.com/,"50 W S Temple, Salt Lake City, UT 84150, USA",40.7694074,-111.892425
"540 Wisconsin AveWhitefish, MT 59937-2126",Entrance Fee is $25 per vehicle,"48.7596128, -113.7870225",406-888-7800,Glacier National Park,http://www.nps.gov/glac/index.htm,"540 Wisconsin Ave, Whitefish, MT 59937, USA",48.4214327,-114.341497
"5705 Grant Creek Road, Missoula, MT 59808",Free,"46.9175647, -114.0318558",406-523-4545,Rocky Mountain Elk Foundation and Wildlife Visitor Center,http://www.rmef.org/,"5705 Grant Creek Rd, Missoula, MT 59808, USA",46.9185039,-114.033032
"1300 West Park Street Butte, Butte, MT 59701",Free,"46.0123457, -112.557698",406-496-4414,Mineral Museum,http://www.mbmg.mtech.edu/museum.htm,"1300 W Park St, Butte, MT 59701, USA",46.0123512,-112.5607657
"2820 Rungius Rd, Jackson, WY 83001","Children: $6, Adults: $12","43.5209, -110.748",307-733-5771,National Wildlife Art Museum Jackson,http://www.wildlifeart.org/,"2820 Rungius Rd, Jackson, WY 83001, USA",43.5209,-110.748
"25 S Willow, Jackson, WY 83001",Entrance Fee is $25,"43.8113221, -110.655022",307-732-0629,Grand Teton National Park,http://www.nps.gov/grte/index.htm,"25 S Willow St, Jackson, WY 83001, USA",43.4793953,-110.7591782
"2301 Central Avenue, Cheyenne, WY 82001-3110",Free,"41.1393766, -104.8182118",307-777-7022,Wyoming State Museum,http://www.wyomuseum.state.wy.us/,"2301 Central Ave, Cheyenne, WY 82002, USA",41.1395177,-104.8176325
"1805 North 30th Street, Colorado Springs, CO 80904",Free,"38.878441, -104.870193",719-634-6666,Garden of the Gods Colorado Springs,http://www.gardenofgods.com/home/index.cfm,"1805 N 30th St, Colorado Springs, CO 80904, USA",38.8784456,-104.8697878
"4545 Highway 40, Dinosaur, CO 81610-9724",Free,"40.4936524, -108.8396886",970-374-3000,Dinosaur National Monument,http://www.nps.gov/dino/index.htm,"4545 US-40, Dinosaur, CO 81610, USA",40.2429537,-108.9738123
"Loop Rd, Mesa Verde, Mesa Verde National Park, CO 81330",Entrance Fee is $10-$15 depending on time of year.,"37.2492714, -108.4513438",970-529-4465,Mesa Verde National Park,http://www.nps.gov/meve/index.htm,"Mesa Verde National Park, Mesa Verde, CO, USA",37.2308729,-108.4618335
"Carlsbad Caverns National Park, NM 88220-575","Children; $7.50, Adults: $15","32.1300792, -104.5538744",877-444-6777,Slaughter Canyon Cave,http://www.nps.gov/cave/planyourvisit/slaughter_canyon_cave_tour.htm,"Carlsbad Caverns National Park, New Mexico 88220, USA",32.1478553,-104.5567138
"Highway 2001, Alamogordo, NM 88310","Children: $4, Adults: $6.","32.908147, -105.9630587",575-437-2840,New Mexico Museum of Space History,http://www.nmspacemuseum.org/index.php,"State Rte 2001, Alamogordo, NM 88310, USA",32.9177119,-105.9260047
